Username,Comment
@Damage_000,Main abhi Samsung j7 Prime isme maal kar raha hoon abhi bhi thik thak kam kar raha hai
@pratiksahoo2544,Any tablet under 80000
@ravindrathosar,Suggest below 150000
@bharatsarkardoubleO1,LENOVO LEGION?
@Ommehta-z1e,Gt 30 pro
@yashpathak21,"Honor pad x8a is an amazing tablet at the price point of 10k
Why doesn't anyone is talking about it ???"
@TechNation3M,Realme pad 2 ko redmi pad 2 likha hua hai
@MiTv-z1s,Realme pad missing
@JanviSingh-o7f,Realme pad 7 vs ipad
@TheViralResort,Bro has issued with Samsung
@NITIN_theNEETaspirant,Waiting for it
@SPIDgamingyoutube,Sir laptop ka video laka aooo under 40000
@MohitJangir-fo7cy,"Sir please me bahut intelligent hu pr mere paas padiye ke liye koi tecnology nhi hai please sir 
Help me"
@Official_Badal_03,Op 
@Raviranjanq,I Pad 11 
@Bhavik6237,Sir pakka ipad 11 gen under 30k
@musichits6520,Samsung is missing
@vishalpadutechuubi1998,Wrong name replace with realme pad 2
@AtomicHarrish,One plus pad2 is best under 30 to 35 k
@MoRohid,Nice
@thestardom_555,"Most of the time written kuch or aa rha hai aap kuch or bata rahe ho  recheck this video you will get wrong point, plz next video me dhyan rakhna "
@dhruva2212,One plus pad
@advaitdhawas,sir Samsung s9 kasa rahin
@surajgaming1282,I pad 11gen not available to 34000
@JNADWI,Tablet 5G sim verient link send
@Rana.Mahkaar.Ali12,"Around 15k don't go with the suggested one instead go with Lenovo Tab Plus, multimedia experience>>"
@abhishekanand7607,Got ipad 11 at 30k price
@S_Rider_01,Vivo V50 pro India launch date sir please reply 
@Aawaravlogs5,Thanx for 44 suscriber  keep supporting 
@Produnty,"Lenovo tab pro 
Ipad 11gen
Xiaomi pad 7"
@badaldhurve6939,-
@01_boy_as,141 rank 
@satyajitsoren,"OnePlus pad abhi 27999/- pe aa raha, wo kyun nhi bataya.."
@mahimulislamrahim1,"FREE, FREE ""P A L E S T I N E"" 🇵🇸"
@jitendrarenua4854,Best Laptop under 45000
@TechSamyak293,"Ajakal tab, laptops, computer kon hi leraha hai."
@SPStudio-a,Mane xiaomi pad 7 khareeda hai mare channel main unboxing video hai 
@Ankush_444_ff_10k,Lenova pad P12 kasa ahe 17k/18k madhe
@Neuralengine1,10k rs honor pad x8a is best
@theshahedshaikh,Rebmi nahi realme pad 2
@hasmukhparmar8318,Upcoming new tablet
@status__king3390,I want ipad pro m4
@sonubareth5400,1st one 
@FFcomedyshorts-d8e,Lenovo Idea tab pro
@thephysicscatalyst6048,"99% mobile manufacturing in india after 2014 BJP government, 99% import from China at congress government!"
@MRROCKGMR,one plus pro best  
@shankn3520,"Lenovo’s Shameful Tactics – Deliberate Refund Delays & Mental Harassment

I am writing to follow up on the refund for the laptop I returned. Please address the following points:

Cheque Clearing: Please expedite the clearing of the large amount cheque issued against the returned laptop.
Pending Amount: Clarify the Rs 100 that is pending and provide details on what this amount is for.
Refund Date: I need a confirmed date for when the refund will be processed.
Laptop Receipt: Confirm the date you received the returned laptop.


Is LENOVO STAFF IRRITATING CUSTOMER BY DELAYING PAYMENT.. More than20 Days passed away but still not ready to refund   customers payment
Laptop successfull arrived at LENOVO CENTER..
NO LEGAL REPLY As date etc mentioned above.. Just delaying and delaying... payment
Lenovo’s Shameful Tactics – Deliberate Refund Delays & Mental Harassment"
@TarunKumarSuryavnshi,ISI channel me in sab tablet's Jo Bata rahe ho uska unboxing detail video banaya Hai
@djankitmuzaffarpur,Oneplus pad 
@DEMONDESRUCTO__YT,"bhai maine aapko pehle bhi comment kiya tha ki aap best gaming tws under 1500 and under3000 pe banao aapne abhi tak nahi dekha mera comment 

or saath hii maine aako same pice amount best gaming headphones pe banane ke liye bhi bola aapki pehle waali video mai

 so aap  please bana do"
@RealandReel2203,"A Pink Vertical line has appeared on my Samsung M52 5G mobile after 3 years of buying. Samsung Service Centre verbally gave an estimate of Rs. 8,900.00 replacing the display. To me it is better to buy a new mobile than repairing the old one. 
It is very much disappointing.  Never expect such things from a renowned company like Samsung."
@RandhirPandit-ck9bq,Bhai Aapka Channel daba diya ab to khush ho bahut Aapka friend hai 5 Sal bad Maine Aapka Channel channel ko dabaya 5 Sal Se video Dekhkar aaj meri
@shubhashish771,Ea log comment nahi parta 
@MrMotivator.A1,Mera iphone tha13 pro battery is bad android better
@riyariya6023,Tablet kavi video banaye please
@InayatRayees-m5o,First comment
@magicpiemagicpie,Without LTE support Tablets are just Garbage.
@RahulRider9955,Lenovo Bekar Battery 
@RameshKuit,Jai shree Ram 
@vinodsamukhe3351,-
@varunpandey6297,5:11
@ASTROKUNJ,"Samsung s9 fe 6,128"
@noobguy009,"sir ap apna purana iqoo 13 gift kardo gaming channel kholna hai sir , mere phone me 3gb ram hai acha nhi chalta"
@ankurpathak9485,Ipad kidhar 30k me mil rha bhai mtlb kuch bhi
@abhijayadey7207,Lenovo idea tab Pro
@TarunKumarSuryavnshi,Top 4 5 6 ka rank ab band karo ab naya trend chalu karo aur top 10 ka
@VishalKumar-x4s8f,Xiaomi pad 7 I have
@minakshiingale2336,Sir under 80000
@Official_Aaman,"I bought Oneplus Pad (12/256) for 21K, it's amazing with Dim9000"
@user-mr.crazY007,5-6k de do tablet ke liye followers ke liye itna to kr sakte ho
@ATHARVAGAWARE-r3e,15M
@sn_suman,"Best quality gaming  
PUBG / BGMI 120fps 
Lenovo legion gaming tablet 12/256GB under 35k"
@rajratre6798,-
@AbhishekSharma-nt7vm,Sir aap mujhe moto edge 60 fusion phone gift karenge
@ashishcreation194,-
@LittleSGRider,First comment
@rktubevolg01,First comment
@bharathraj8866,one plus tab 1
@RajRajput-kn8ee,️️️️️️️️️
@priyankadeshmukh173,Under 20000
@pankajkumawat1497,Apple  1:13
@Karnawal1322,Reason Hai anime
@k12iyanp09,6 min video and 2 min ad YouTube mc 
@Tanosh880,Bhai main bohut Gurib ho bhai please mujhe help karo bhai please 
@jabin_goyal.14,"Tablet under 30k ️ 
(Only for Amazon or flipkart credit card  users) 

Tablet under 40k ️ 
This is real  title for this video   
Jisko bhi Tablet 30k chahiye vah trakin G ki Tablet under 20k dekhe uss video mein Tablet under 30k par bank offers ke baad 20k hai ️️️️️️ 


Trakin G title thoda sahi Type कीजिए har kisi ke pass amazon or flipkart ka credit card nahi hota isliye "
@eerrrrrr3702,"BEST tablet under 18k ....
Lenovo tab p12... 12.7inch....3kdisplY......10200....8 .128gb.......
AK DAM MAST HA ABHI MA YAHI USE KAR RAHA HU"
@abhinandanmehta9777,"xiaomi bekar h for eye 
vision kharab kr rha h"
@ZahidSheikh-l2w,Poco f 7
@greenhaunt,Goodnight
@ZahidSheikh-l2w,Poco f7
@Moheshkutum21,-
@Moheshkutum21,-
@alonewalker.99,-
@Fir_comedy,Sir Redmi note 7 pro ka motherboard chahiye bhout jada jaruri agar aapke paas ho to please sell kr do mere ko bohot jarurat hai please me aapka subscriber hu please help kr do please
@allvideoclip3372,hanko eak phone gift kar dete
@Shubham_022,Milan
@vishalthul,️
@officialkrishna364,Bhaiya mujhe ek phone gift kardo plz
@dakshraina940,Op
@solomonthong650,-
@Gadget_linkz,Hiiiiiii sir
@Cartoon_World_creator,Samsung tab S9 series ki sabhi tab ki video dijiye na pls sir
@armymotivation5508,Mujhe koi to ek phone gift kar dijiye na please please bhaiya please please
@SRPGAMER-o5k,Please Sir please meri madad karo please sir
@Biciop,-
@thephysicscatalyst6048,"99% mobile manufacturing in india after 2014 BJP government, but chamche don't talk about this"
@SRPGAMER-o5k,Hello Sir mera naam Sonu hai mai bahut gareeb mai aapka bahot purana subscriber hu aap please meri madad karo please mujhe 5000 hazaar rupaye ka bahot zarurat
@MukulKumar-b5q6g,Bhaiya please 1 mobile gift de do please bhaiya please
@asgamer916,Hii
@0ct0o,For all the ppl searching for Samsung tabs don't buy anything under S series as below that they give Exynos which is shit & even in S series a 50k ipad beats the flagship s10 tablet at everything so if u prefer performance get ipad just invest on an apple pencil that's the cone with 60hz
